timestamp,open,high,low,close,volume
2025-06-21 23:00:00+00:00,134.2,135.63,131.9,135.43,300461.851
2025-06-22 00:00:00+00:00,135.43,137.62,134.05,136.53,302638.124
2025-06-22 01:00:00+00:00,136.54,137.18,134.89,135.05,109073.986
2025-06-22 02:00:00+00:00,135.06,136.12,133.24,134.7,187421.758
2025-06-22 03:00:00+00:00,134.69,135.56,134.04,135.11,109548.264
2025-06-22 04:00:00+00:00,135.12,136.29,134.6,135.82,138031.886
2025-06-22 05:00:00+00:00,135.81,136.5,135.46,136.22,53081.759
2025-06-22 06:00:00+00:00,136.23,136.5,135.56,135.92,59022.513
2025-06-22 07:00:00+00:00,135.92,135.92,134.63,134.82,59393.235
2025-06-22 08:00:00+00:00,134.82,135.08,134.12,134.91,58671.031
2025-06-22 09:00:00+00:00,134.91,135.36,132.28,132.32,112150.412
2025-06-22 10:00:00+00:00,132.33,133.77,131.95,133.21,100045.549
2025-06-22 11:00:00+00:00,133.22,134.03,132.47,133.25,99320.083
2025-06-22 12:00:00+00:00,133.26,133.88,132.52,133.53,96368.276
2025-06-22 13:00:00+00:00,133.53,133.77,126.82,128.74,703710.785
2025-06-22 14:00:00+00:00,128.74,130.24,126.51,129.88,531716.248
2025-06-22 15:00:00+00:00,129.89,130.46,128.23,128.55,192863.04
2025-06-22 16:00:00+00:00,128.56,129.91,128.29,129.82,161681.724
2025-06-22 17:00:00+00:00,129.81,131.48,129.31,130.49,142423.979
2025-06-22 18:00:00+00:00,130.48,131.12,129.3,129.43,75827.169
2025-06-22 19:00:00+00:00,129.43,129.51,128.53,129.06,82562.32
2025-06-22 20:00:00+00:00,129.07,130.13,126.0,129.54,315553.613
2025-06-22 21:00:00+00:00,129.55,130.04,127.96,129.01,93060.174
2025-06-22 22:00:00+00:00,129.02,132.47,128.83,132.14,330487.602
2025-06-22 23:00:00+00:00,132.15,132.56,131.41,131.71,137466.493
2025-06-23 00:00:00+00:00,131.71,133.53,131.53,132.52,224453.516
2025-06-23 01:00:00+00:00,132.53,133.15,131.71,133.05,107193.552
2025-06-23 02:00:00+00:00,133.05,133.22,132.53,132.85,69124.688
2025-06-23 03:00:00+00:00,132.84,133.15,132.29,132.67,51749.162
2025-06-23 04:00:00+00:00,132.67,133.74,132.35,133.18,66228.354
2025-06-23 05:00:00+00:00,133.18,134.77,133.12,134.41,102849.74
2025-06-23 06:00:00+00:00,134.41,134.78,133.58,134.31,107241.949
2025-06-23 07:00:00+00:00,134.31,135.01,134.02,134.38,82064.732
2025-06-23 08:00:00+00:00,134.38,134.88,133.94,134.36,59064.929
