symbol,timeframe,date,direction,entry,stop_loss,take_profit,result,profit,r_multiple,exit_date,exit_price,position_size
BTCUSDT,1h,2025-06-24 19:00:00+00:00,bearish,105523.8,106290.0,102459.0,LOSS,-1000.0,-1.0,2025-06-25 00:00:00+00:00,106290.0,1.305142
BTCUSDT,1h,2025-06-26 05:00:00+00:00,bearish,107692.64,108272.45,105373.4,LOSS,-990.0,-1.0,2025-06-29 10:00:00+00:00,108272.45,1.707456
BTCUSDT,1h,2025-07-05 08:00:00+00:00,bearish,108000.0,108420.56,106317.76,LOSS,-980.1,-1.0,2025-07-06 13:00:00+00:00,108420.56,2.330464
BTCUSDT,1h,2025-07-05 22:00:00+00:00,bullish,108167.23,107864.75,109377.15,LOSS,-970.3,-1.0,2025-07-06 09:00:00+00:00,107864.75,3.207812
BTCUSDT,1h,2025-07-06 04:00:00+00:00,bearish,108025.97,108268.35,107056.45,LOSS,-960.6,-1.0,2025-07-06 13:00:00+00:00,108268.35,3.963182
BTCUSDT,1h,2025-07-08 04:00:00+00:00,bullish,108000.0,107429.57,110281.72,WIN,3803.96,4.0,2025-07-09 19:00:00+00:00,110281.72,1.667146
BTCUSDT,1h,2025-07-22 09:00:00+00:00,bullish,118594.55,116128.0,128460.75,LOSS,-989.03,-1.0,2025-07-25 03:00:00+00:00,116128.0,0.400977
BTCUSDT,1h,2025-07-24 05:00:00+00:00,bearish,117830.0,119273.36,112056.56,LOSS,-979.14,-1.0,2025-07-24 15:00:00+00:00,119273.36,0.678375
BTCUSDT,1h,2025-07-24 09:00:00+00:00,bullish,118811.09,117103.1,125643.05,LOSS,-969.35,-1.0,2025-07-25 02:00:00+00:00,117103.1,0.567537
BTCUSDT,1h,2025-07-27 08:00:00+00:00,bearish,118066.74,118438.83,116578.38,LOSS,-959.65,-1.0,2025-07-27 14:00:00+00:00,118438.83,2.579092
BTCUSDT,1h,2025-07-28 09:00:00+00:00,bearish,118774.31,119800.0,114671.55,WIN,3800.23,4.0,2025-08-01 00:00:00+00:00,114671.55,0.926262
BTCUSDT,1h,2025-07-30 18:00:00+00:00,bearish,117635.3,118792.0,113008.5,LOSS,-988.06,-1.0,2025-07-31 07:00:00+00:00,118792.0,0.854206
BTCUSDT,1h,2025-08-01 12:00:00+00:00,bullish,115340.0,114116.0,120236.0,LOSS,-978.18,-1.0,2025-08-01 14:00:00+00:00,114116.0,0.799166
BTCUSDT,1h,2025-08-04 16:00:00+00:00,bullish,115022.97,114121.0,118630.85,LOSS,-968.4,-1.0,2025-08-05 06:00:00+00:00,114121.0,1.073647
BTCUSDT,1h,2025-08-19 10:00:00+00:00,bullish,115488.27,114366.0,119977.35,LOSS,-958.71,-1.0,2025-08-19 14:00:00+00:00,114366.0,0.854263
BTCUSDT,1h,2025-08-20 17:00:00+00:00,bullish,114309.16,112380.0,122025.8,LOSS,-949.13,-1.0,2025-08-21 16:00:00+00:00,112380.0,0.49199
BTCUSDT,1h,2025-08-22 15:00:00+00:00,bullish,116116.11,111684.79,133841.39,LOSS,-939.64,-1.0,2025-08-24 19:00:00+00:00,111684.79,0.212044
BTCUSDT,1h,2025-08-25 15:00:00+00:00,bullish,112307.69,110588.0,119186.45,LOSS,-930.24,-1.0,2025-08-25 20:00:00+00:00,110588.0,0.540934
BTCUSDT,1h,2025-08-28 16:00:00+00:00,bearish,112391.56,113485.9,108014.2,WIN,3683.75,4.0,2025-08-29 19:00:00+00:00,108014.2,0.841545
BTCUSDT,1h,2025-09-03 03:00:00+00:00,bearish,110901.06,111782.21,107376.46,LOSS,-957.77,-1.0,2025-09-03 12:00:00+00:00,111782.21,1.086959
BTCUSDT,1h,2025-09-07 18:00:00+00:00,bearish,110888.07,111412.0,108792.35,LOSS,-948.2,-1.0,2025-09-07 23:00:00+00:00,111412.0,1.809777
BTCUSDT,1h,2025-09-08 01:00:00+00:00,bearish,110733.71,111600.0,107268.55,LOSS,-938.71,-1.0,2025-09-08 07:00:00+00:00,111600.0,1.083603
BTCUSDT,1h,2025-09-08 08:00:00+00:00,bullish,111609.04,110621.78,115558.08,WIN,3717.31,4.0,2025-09-12 00:00:00+00:00,115558.08,0.94132
BTCUSDT,1h,2025-09-09 11:00:00+00:00,bearish,112635.38,113293.29,110003.74,LOSS,-966.5,-1.0,2025-09-10 12:00:00+00:00,113293.29,1.469047
BTCUSDT,1h,2025-09-11 09:00:00+00:00,bearish,113957.2,114459.65,111947.4,LOSS,-956.84,-1.0,2025-09-11 12:00:00+00:00,114459.65,1.90434
BTCUSDT,1h,2025-09-12 21:00:00+00:00,bearish,115974.0,116665.63,113207.48,LOSS,-947.27,-1.0,2025-09-15 06:00:00+00:00,116665.63,1.369615
BTCUSDT,1h,2025-09-15 03:00:00+00:00,bullish,115443.29,114825.0,117916.45,LOSS,-937.79,-1.0,2025-09-15 08:00:00+00:00,114825.0,1.516755
BTCUSDT,1h,2025-09-15 08:00:00+00:00,bearish,115626.96,116757.99,111102.84,LOSS,-928.42,-1.0,2025-09-16 17:00:00+00:00,116757.99,0.820859
BTCUSDT,1h,2025-09-18 22:00:00+00:00,bearish,117196.33,117900.0,114381.65,WIN,3676.53,4.0,2025-09-22 00:00:00+00:00,114381.65,1.306198
BTCUSDT,1h,2025-09-23 05:00:00+00:00,bullish,112469.21,111478.0,116434.05,LOSS,-955.9,-1.0,2025-09-23 20:00:00+00:00,111478.0,0.964374
BTCUSDT,1h,2025-09-26 13:00:00+00:00,bullish,109579.0,108620.07,113414.72,WIN,3785.35,4.0,2025-09-29 13:00:00+00:00,113414.72,0.986869
BTCUSDT,1h,2025-10-06 00:00:00+00:00,bullish,123548.83,122301.63,128537.63,LOSS,-984.19,-1.0,2025-10-07 15:00:00+00:00,122301.63,0.789121
BTCUSDT,1h,2025-10-16 12:00:00+00:00,bullish,111728.7,109635.15,120102.9,LOSS,-974.35,-1.0,2025-10-16 15:00:00+00:00,109635.15,0.465406
BTCUSDT,1h,2025-10-20 10:00:00+00:00,bearish,110691.96,111679.25,106742.8,LOSS,-964.61,-1.0,2025-10-20 15:00:00+00:00,111679.25,0.977025
BTCUSDT,1h,2025-10-20 17:00:00+00:00,bearish,110110.0,111705.56,103727.76,LOSS,-954.96,-1.0,2025-10-21 14:00:00+00:00,111705.56,0.598511
BTCUSDT,1h,2025-10-28 20:00:00+00:00,bearish,113566.44,116086.0,103488.2,WIN,3781.64,4.0,2025-11-04 14:00:00+00:00,103488.2,0.375229
BTCUSDT,1h,2025-11-02 15:00:00+00:00,bearish,110173.84,111250.01,105869.16,WIN,3932.91,4.0,2025-11-03 15:00:00+00:00,105869.16,0.913636
BTCUSDT,1h,2025-11-17 18:00:00+00:00,bearish,92658.82,96043.0,79122.1,LOSS,-1022.56,-1.0,2026-01-13 22:00:00+00:00,96043.0,0.302158
BTCUSDT,1h,2025-11-29 21:00:00+00:00,bullish,91035.27,90155.47,94554.47,LOSS,-1012.33,-1.0,2025-12-01 00:00:00+00:00,90155.47,1.150637
BTCUSDT,1h,2025-12-09 07:00:00+00:00,bullish,90232.76,89500.0,93163.8,WIN,4008.83,4.0,2025-12-09 16:00:00+00:00,93163.8,1.367716
BTCUSDT,1h,2025-12-11 18:00:00+00:00,bullish,90653.33,89260.63,96224.13,LOSS,-1042.3,-1.0,2025-12-14 11:00:00+00:00,89260.63,0.748399
BTCUSDT,1h,2025-12-14 00:00:00+00:00,bullish,90280.76,89766.39,92338.24,LOSS,-1031.87,-1.0,2025-12-14 11:00:00+00:00,89766.39,2.006091
BTCUSDT,1h,2025-12-17 18:00:00+00:00,bearish,86166.66,90365.85,69369.9,LOSS,-1021.55,-1.0,2025-12-22 12:00:00+00:00,90365.85,0.243274
BTCUSDT,1h,2025-12-18 02:00:00+00:00,bullish,86431.14,85314.0,90899.7,LOSS,-1011.34,-1.0,2025-12-18 19:00:00+00:00,85314.0,0.905293
BTCUSDT,1h,2025-12-19 18:00:00+00:00,bearish,86873.14,89399.97,76765.82,LOSS,-1001.23,-1.0,2025-12-22 00:00:00+00:00,89399.97,0.396238
BTCUSDT,1h,2025-12-20 10:00:00+00:00,bearish,88189.67,88573.07,86656.07,LOSS,-991.21,-1.0,2025-12-21 08:00:00+00:00,88573.07,2.585323
BTCUSDT,1h,2025-12-24 20:00:00+00:00,bullish,87670.0,86420.0,92670.0,WIN,3925.2,4.0,2026-01-05 01:00:00+00:00,92670.0,0.785041
BTCUSDT,1h,2025-12-26 19:00:00+00:00,bullish,87463.77,86655.08,90698.53,WIN,4082.21,4.0,2026-01-02 16:00:00+00:00,90698.53,1.261983
BTCUSDT,1h,2025-12-31 16:00:00+00:00,bearish,87766.59,89200.0,82032.95,LOSS,-1061.37,-1.0,2026-01-02 08:00:00+00:00,89200.0,0.740455
BTCUSDT,1h,2026-01-04 12:00:00+00:00,bearish,91174.46,91810.0,88632.3,LOSS,-1050.76,-1.0,2026-01-05 00:00:00+00:00,91810.0,1.653336
BTCUSDT,1h,2026-01-12 01:00:00+00:00,bullish,91258.66,90236.0,95349.3,LOSS,-1040.25,-1.0,2026-01-12 14:00:00+00:00,90236.0,1.017204
BTCUSDT,1h,2026-01-16 06:00:00+00:00,bullish,95676.73,95133.03,97851.53,LOSS,-1029.85,-1.0,2026-01-16 15:00:00+00:00,95133.03,1.894153
BTCUSDT,1h,2026-01-26 17:00:00+00:00,bearish,87206.0,88860.0,80590.0,LOSS,-1019.55,-1.0,2026-01-27 03:00:00+00:00,88860.0,0.616416
BTCUSDT,1h,2026-02-12 16:00:00+00:00,bearish,67014.98,68410.52,61432.82,LOSS,-1009.36,-1.0,2026-02-13 15:00:00+00:00,68410.52,0.723273
BTCUSDT,1h,2026-02-17 18:00:00+00:00,bullish,68158.1,66621.06,74306.26,LOSS,-999.26,-1.0,2026-02-18 18:00:00+00:00,66621.06,0.650122
BTCUSDT,1h,2026-03-07 10:00:00+00:00,bullish,68074.97,67446.41,70589.21,LOSS,-989.27,-1.0,2026-03-07 19:00:00+00:00,67446.41,1.573869
BTCUSDT,1h,2026-03-21 17:00:00+00:00,bearish,70251.0,71100.94,66851.24,LOSS,-979.38,-1.0,2026-03-23 11:00:00+00:00,71100.94,1.152291
BTCUSDT,1h,2026-04-06 22:00:00+00:00,bearish,69282.02,70351.46,65004.26,LOSS,-969.58,-1.0,2026-04-07 22:00:00+00:00,70351.46,0.906628
BTCUSDT,1h,2026-04-09 00:00:00+00:00,bearish,70707.23,72857.0,62108.15,LOSS,-959.89,-1.0,2026-04-09 22:00:00+00:00,72857.0,0.446508
BTCUSDT,1h,2026-04-14 11:00:00+00:00,bearish,74333.46,74924.64,71968.74,LOSS,-950.29,-1.0,2026-04-14 13:00:00+00:00,74924.64,1.607446
BTCUSDT,1h,2026-04-17 01:00:00+00:00,bearish,74789.5,75534.76,71808.46,LOSS,-940.79,-1.0,2026-04-17 08:00:00+00:00,75534.76,1.262361
BTCUSDT,1h,2026-04-24 00:00:00+00:00,bullish,78331.0,76960.0,83815.0,LOSS,-931.38,-1.0,2026-04-27 15:00:00+00:00,76960.0,0.679343
BTCUSDT,1h,2026-05-04 23:00:00+00:00,bearish,79900.0,80776.99,76392.04,LOSS,-922.07,-1.0,2026-05-05 02:00:00+00:00,80776.99,1.051398
BTCUSDT,1h,2026-05-05 23:00:00+00:00,bearish,80817.72,81791.48,76922.68,LOSS,-912.84,-1.0,2026-05-06 08:00:00+00:00,81791.48,0.937443
BTCUSDT,1h,2026-05-11 16:00:00+00:00,bullish,81458.0,80462.97,85438.12,LOSS,-903.72,-1.0,2026-05-12 13:00:00+00:00,80462.97,0.90823
BTCUSDT,1h,2026-05-25 18:00:00+00:00,bearish,77550.39,77905.52,76129.87,LOSS,-894.68,-1.0,2026-05-26 14:00:00+00:00,77905.52,2.519299
BTCUSDT,1h,2026-05-26 16:00:00+00:00,bearish,76272.63,78080.0,69043.15,WIN,3542.93,4.0,2026-06-02 12:00:00+00:00,69043.15,0.490067
BTCUSDT,1h,2026-05-28 18:00:00+00:00,bullish,73734.72,72582.82,78342.32,LOSS,-921.16,-1.0,2026-05-29 14:00:00+00:00,72582.82,0.799689
BTCUSDT,1h,2026-05-31 07:00:00+00:00,bearish,73985.34,74275.66,72824.06,WIN,3647.8,4.0,2026-06-01 07:00:00+00:00,72824.06,3.141188
BTCUSDT,1h,2026-06-10 12:00:00+00:00,bullish,61456.0,60755.0,64260.0,WIN,3793.71,4.0,2026-06-12 15:00:00+00:00,64260.0,1.352964
BTCUSDT,1h,2026-06-18 00:00:00+00:00,bullish,64529.2,63915.77,66982.92,LOSS,-986.36,-1.0,2026-06-18 04:00:00+00:00,63915.77,1.60795
BTCUSDT,1h,2026-06-18 07:00:00+00:00,bullish,64134.33,63696.29,65886.49,LOSS,-976.5,-1.0,2026-06-18 14:00:00+00:00,63696.29,2.229251
ETHUSDT,1h,2025-06-27 03:00:00+00:00,bullish,2440.11,2382.53,2670.43,LOSS,-1000.0,-1.0,2025-07-02 01:00:00+00:00,2382.53,17.367141
ETHUSDT,1h,2025-07-07 00:00:00+00:00,bearish,2562.27,2605.0,2391.35,LOSS,-990.0,-1.0,2025-07-08 17:00:00+00:00,2605.0,23.168734
ETHUSDT,1h,2025-07-23 23:00:00+00:00,bullish,3620.0,3527.0,3992.0,LOSS,-980.1,-1.0,2025-07-24 06:00:00+00:00,3527.0,10.53871
ETHUSDT,1h,2025-07-27 00:00:00+00:00,bearish,3736.84,3793.0,3512.2,LOSS,-970.3,-1.0,2025-07-27 05:00:00+00:00,3793.0,17.277404
ETHUSDT,1h,2025-07-29 19:00:00+00:00,bullish,3793.59,3716.04,4103.79,LOSS,-960.6,-1.0,2025-07-30 19:00:00+00:00,3716.04,12.386796
ETHUSDT,1h,2025-08-06 05:00:00+00:00,bullish,3624.56,3546.0,3938.8,WIN,3803.96,4.0,2025-08-08 03:00:00+00:00,3938.8,12.10527
ETHUSDT,1h,2025-08-10 17:00:00+00:00,bullish,4240.91,4153.07,4592.27,WIN,3956.12,4.0,2025-08-12 20:00:00+00:00,4592.27,11.259444
ETHUSDT,1h,2025-08-30 05:00:00+00:00,bullish,4381.61,4257.2,4879.25,LOSS,-1028.59,-1.0,2025-09-01 21:00:00+00:00,4257.2,8.26775
ETHUSDT,1h,2025-08-31 20:00:00+00:00,bearish,4451.03,4498.47,4261.27,WIN,4073.22,4.0,2025-09-01 21:00:00+00:00,4261.27,21.465112
ETHUSDT,1h,2025-09-02 21:00:00+00:00,bullish,4327.93,4257.85,4608.25,LOSS,-1059.04,-1.0,2025-09-05 15:00:00+00:00,4257.85,15.111831
